Model,Organization,Global Average,Reasoning Average,Coding Average,Mathematics Average,Data Analysis Average,Language Average,IF Average
claude-3-7-sonnet-thinking,Anthropic,76.1,87.83,74.54,79,74.05,59.93,81.25
o3-mini-2025-01-31-high,OpenAI,75.88,89.58,82.74,77.29,70.64,50.68,84.36
o1-2024-12-17-high,OpenAI,75.67,91.58,69.69,80.32,65.47,65.39,81.55
grok-3-thinking,xAI,,-,67.38,-,-,-,-
qwq-32b,Alibaba,71.96,83.5,72.23,77.82,65.03,51.35,81.83
deepseek-r1,DeepSeek,71.57,83.17,66.74,80.71,69.78,48.53,80.51
o3-mini-2025-01-31-medium,OpenAI,70.01,86.33,65.38,72.37,66.56,46.26,83.16
gpt-4.5-preview,OpenAI,68.95,71.08,75.18,69.33,64.33,61.45,72.33
gemini-2.0-flash-thinking-exp-01-21,Google,66.92,78.17,53.49,75.85,69.37,42.18,82.47
claude-3-7-sonnet,Anthropic,65.56,66,67.49,63.26,63.37,56.76,76.49
gemini-2.0-pro-exp-02-05,Google,65.13,60.08,63.49,70.97,68.02,44.85,83.38
gemini-exp-1206,Google,64.09,57,63.41,72.36,63.16,51.29,77.34
o3-mini-2025-01-31-low,OpenAI,62.45,69.83,61.46,63.06,62.04,38.25,80.06
qwen2.5-max,Alibaba,62.29,51.42,64.41,58.35,67.93,56.28,75.35
gemini-2.0-flash,Google,61.47,55.25,53.92,65.62,67.55,40.69,85.79
deepseek-v3,DeepSeek,60.45,56.75,61.77,60.54,60.94,47.48,75.25
gemini-2.0-flash-exp,Google,59.26,59.08,54.36,60.39,61.67,38.22,81.86
claude-3-5-sonnet-20241022,Anthropic,59.03,56.67,67.13,52.28,55.03,53.76,69.3
grok-3,xAI,,66.92,54.28,-,-,51.33,-
chatgpt-4o-latest-2025-01-29,OpenAI,57.79,57.92,60.56,48.02,66,49.14,65.07
o1-mini-2024-09-12,OpenAI,57.76,72.33,48.05,61.99,57.92,40.89,65.4
step-2-16k-202411,StepFun,56.02,52.17,47.19,48.77,63.72,44.39,79.88
gpt-4o-2024-08-06,OpenAI,55.33,53.92,51.44,49.54,60.91,47.59,68.58
deepseek-r1-distill-llama-70b,DeepSeek,54.5,67.58,51.62,58.11,55.93,23.81,69.94
