keyword,category,similarity_score
meteorology,Earth science,0.8500495
periodic table,Chemistry,0.7390155
weather forecasting,Earth science,0.82856834
earthquakes,Pharmacy,0.8205048
stars,Astronomy,0.8012298
hurricanes,Earth science,0.7177295
phycology,Anthropology,0.79762787
galaxies,Astronomy,0.80300725
global positioning system,Earth science,0.75184053
viruses,Biology,0.83107644
schizophrenia,Pharmacy,0.8593203
tornadoes,Anthropology,0.71924514
big bang theory,Physics,0.83587337
parasites,Biology,0.7290165
solar system,Pharmacy,0.7806775
mass spectrometry,Chemistry,0.7546588
psychiatry,Psychology,0.8331189
tsunamis,Earth science,0.7135604
evolution,Biology,0.8537189
planets,Astronomy,0.7568278
mechanics,Biology,0.8906046
fossils,Biology,0.8417442
proton,Pharmacy,0.8200789
ct scans,Pharmacy,0.8038187
deep brain stimulation,Physics,0.7231773
parkinsons disease,Pharmacy,0.73958147
comets,Biology,0.72180206
forestry,Finance,0.87849236
gastroenterology,Earth science,0.7263706
pulsars,Astronomy,0.7485221
multiple sclerosis,Biology,0.71744186
urology,Finance,0.8354969
neurology,Medicine,0.82272017
vitamins,Pharmacy,0.8355026
habitat,Finance,0.8235942
big bang,Pharmacy,0.68824214
optometry,Physics,0.8082726
electronics,Physics,0.8131321
black holes,Physics,0.72918606
endocrinology,Biology,0.8710081
mri,Pharmacy,0.8131138
lasers,Physics,0.8466104
linear programming,Systems engineering,0.77802366
physics,Physics,0.9999999
magnetic resonance imaging,Pharmacy,0.7274128
supernova,Astronomy,0.73834056
supernovae,Physics,0.6762844
memory,Finance,0.779917
computed tomography,Pharmacy,0.7578653
fusion,Finance,0.806527
mitosis,Biology,0.86962116
geographic information systems,Earth science,0.8260305
dark matter,Physics,0.77491325
nebulae,Physics,0.7376844
radiology,Medicine,0.88374877
antibiotics,Pharmacy,0.83914554
antivirals,Pharmacy,0.77323395
satellites,Astronomy,0.79734594
oncology,Biology,0.87751853
el nino,Finance,0.7107764
elisa,Chemistry,0.74391204
botany,Biology,0.7481748
pathology,Biology,0.9062221
gis,Finance,0.8609207
law,Sociology,0.8267259
chemistry,Chemistry,0.9999994
statics,Accounting,0.79186714
statistics,Statistics,1.0
magnetism,Physics,0.84139717
measurement,Accounting,0.849201
fungi,Biology,0.81529856
microscopy,Finance,0.792032
coronal mass ejections,Physics,0.69043946
algebra,Astronomy,0.85835236
geometry,Finance,0.8802858
alzheimers disease,Political science,0.6904259
anatomy,Biology,0.86690336
nephrology,Pharmacy,0.731865
global warming,Earth science,0.7303301
asteroids,Astronomy,0.8268358
rheumatology,Pharmacy,0.8387252
biology,Biology,0.9999999
