hash_A,hash_B,score
9f4f2e8204664a3f7a12f39fa9228c40,6c82208bba3fa9b6f708099fbd342ebd,3.333333
ecc13d620be4ba7534d69f335d97002d,5b79dbafe8728a0f1b71121da0b1d6aa,3.333333
1391aac02514418533c7a7f8b4471ddd,315edabca0e553a7d114e0f4e6b48764,10
d252beb7d95f5f3a9eb65e5a0d7a6b61,b7715a193c6ede33fe9bf8f2b209cbb0,3.333333
e3941f38902dd1f6fe2b4fab096572e9,8d3d8b3269b2aca10e0bbf5a911edd2f,10
89bf69c16b6a7f9769b9250988e8830a,baf852ab34463654567ee378564f4e54,3.333333
9b6f765320720de0015a3c860423b8e9,ce9d91a6cca6c510dd9677235249b869,10
2e9dcf6106e7616f8412ea302b5ede42,02e9c2eea368813c10343568e889591c,10
f715325f07839c9a8f5ef9ceb953d95e,8a827e34d34fcfb428fbd0ab8d748249,10
440e4142bc21c16b705656e667c39901,78d0c6e6968bb9799c40c509126d6f0b,10
ce4c72dd16cd22f4a11071e63ce009da,644de9c27adc69d80b7af8ca11a30158,10
cec1d4af977645651a4f9f4ad110f8f6,31ec755f115d6b3779fee43256245c2d,10
20c2d43c0e3aa9d877d48b43a9c9a887,db0336549032cacb89278000d297e5cb,10
e3fb7530bb8afe0cde668872a6edd0b6,02822226b704286879a2c18d8b04dd40,10
4bd016950516583e51b52bd5789be594,521e15bda9117a4f1ed877e926e5a2f3,3.333333
ff9adbdbe9864b4537e5ca151205ce47,b9f1fa152991327af001b3b340614941,3.333333
365291b4078f71a4a11cdbffd746f9e4,c073338e400d1a996f4f23c0d50fc7e1,3.333333
1884437c9401dbf6b659e24586b2bd68,eb755954603182b92af4d54dfe356860,3.333333
793d5dac79c2d0cca6fe3594d5046c69,3ba9322f7e69ee531656df236c1cdb22,3.333333
38f143ced9acb78acdbc73858738c80a,329c36a7a2ec4ed2fac0e3a1b11dde47,10
e8bf3e8e2cd4eb1f7f72aa44bceba7e7,c57808cd2aca73cd5a87fa67ee5c0b8a,10
f2b514da4626bc30db080802c0d43946,f31fd9b497ee95840f0fdf9f240a008d,10
8a288e681da959a7e8a96fe89b884d08,0a769efa23a1b227b0ff0263a34a4bf2,3.333333
213ec51a149f2375da16c755c2083a3d,62142fab621f4dbc128548b1254f12fd,10
d2bea7d27f09708e089ad5ad05ca5156,bbe689f7e80bef32c7d24f5950e6ceb9,10
3be6748b3ab8dd6e79bfde493d848b2b,a96212cfdb1e3819742c98fda75e66cd,3.333333
ccd8c9ab3e9a9b360e03a124c81566db,a663f149bfcf10d6de393eeb234fda0b,3.333333
e06063a8994610e637f31d20039543d8,6b1662d2fad476e5a534bf1de3c5032c,3.333333
48ee33a16caefc20e24c9d9b14d43f88,76b408a0ec506db5f047d454c32c650b,3.333333
3a3ea8b9aff8e0b6ce41885644afa17f,c63525ff3f7ac6b71562962fcf0a9dbc,10
427081b8ff6b7905020c61370acc71e5,2392aa7d4d5f5759c17a78485c142ac1,3.333333
51c989c3f049bfd41677d100fa155251,b273e2af3aa3a7ac5bb1a2e510b1c0b1,10
3f85f6679f438ad5215ef2fa67a15010,7d7a0736e9039d076b609fe4af2c9058,10
70922e48b91d545ccc4ca317fbca379d,8cf9551810a374b8214ab3af5f26caad,6.666666
60f0511554469b8dc3c47379d6817461,5ff0f1866ade9bdc82a3f719dba0a82c,10
52d33c4ac651d7d9e349b8091e34a0ca,93ba08dfd692b066ada99f4f82fecee1,6.666666
797452d18ac0b5159753874ac80e6fdc,6df099ed83c515551e07b61e17f611f7,10
f1df25e34018adc635c94a76c9a3dbff,12e2632ab1af37503506b55740d57341,3.333333
c4a59a26e987108dcd056f7ba3969219,b548e7376923a874067f234011ede7d4,6.666666
0ea589a22600d6295f5ed14ca9c7279f,3124cea9b2f4e0b003edfff19597e7b9,10
29b3a3ef0cef9b11d3e1e8b2b8ea7817,05aa73a012d41bdb79f500aff5b6684f,6.666666
