hash_A,hash_B,score
87452c7fa5b40447d4663bcd1e8655bf,ed36c8aae39670e9c32e42a1a1f172f0,3.333333
3e3f7a4530c6d06e3d261ce4ec1d1336,4aede9220384733ad9d24c32fdf0bc19,10
2d2ebbd1f806c79a76f60f48158e2e4a,9672c2bc152afb7499b5df220d3fcd1c,10
861be095be48d6a73ddb914a00d34321,c498ebb7a0fc06e894c2a47cb16a237a,3.333333
3205ec07e4741bab922862abf60bff22,4b98efd95bf4e047b52eecf3abd27f02,10
489c54d6f593583c19957f233b503cf9,6d3f53704ce310e8614ff18e422787eb,10
9d46b7d5d525ca9f0b9a5052be533e60,bd63a0e71097f14ed999d31466a27453,10
de8b3a3f952076c011df30e300cae8f7,aa5c482b6f425eae2878d5d33fe09434,3.333333
ce8f3f3750f5df5ac1a80ba794ef901f,e9ed4667c0b82adab22381168ba33b24,10
b9c67596c45752f5a83f0a1a07eaa657,4e77ab33fe87c4afefbe569568e9fddf,3.333333
47fa4dd8ac31c0cec5b96f40c65466df,4ceae40c6c97e2d35a4591a3ceee16ad,6.666666
7951b1ec6ae25451ff8465d47068601c,d86d98bd18a997b2cb25abda3aa77171,10
ba42543715bdb48a743b6b539ab29f88,24560cc8822b1a89e41f20c71e460f90,6.666666
ff891fb948d9071477d8cb193c72e04d,22592de737f885e6039c8455909c8bc1,10
a6e86759a75b9efc567886b3a86a7311,9b76b85cd2101de2b73e25890d9f2f45,10
f67d8b2b9f86286e0bbaf532e067c5f8,419c3d734a4825b0725144a199bd6d48,10
bc15b9cf4c7f1762d948398c02600fca,7b07adb29c12d022f4725e4c488dd882,3.333333
fa4af1132bf535f02cb7c5df71a698da,add88094652ce8d8912a3a7d2c828ada,6.666666
1ab5890b275d8af2469570a1e13642f8,a5d7ff39946bfe923091b3b2c6ee15c5,6.666666
641d4bf74bcde6cb4053803cd7641304,7da88a6be5b0daba15e12a293d391dc5,6.666666
0931878e94d63e0b9a9a143be97cfc39,cac267a3a284e167ee6a7c233b2a48b0,6.666666
68e477595e2331ebde6422bc2a333cde,a1177513c7ec5598cf4cd00e785ff94f,6.666666
d4b4e25d142e5485b203ddee6fa6b5c4,dafef90173953a83b3b2cf422173d3f6,10
bade6662a6a9cf72385e67b077e18471,3dda9fc68f69413e26fb9ea700cbd9a0,10
e17ca200adcd6f3dd53e4287a7b0fb97,ffdf41bb3b5f2da3191b19f4a53c595d,10
f60d30d5898eeb62ab4be4811f0d0fa7,62280d4f9eb65363b755b3ed924bd4bc,10
f1f90a07ee76ca43a2f84096e7b22972,125513c01965929b1c754adbd57f6c03,10
62d50295d9d1f6f882a451ff472af28f,77a74aec89c0545369dc2c9b778fb545,10
11c8064eb7df5c4e9d0f57968b19d60b,7fa837ccec7ef584d079385f47a5bde6,10
c8d2f40172beec8fc5fa6cf3a00e7058,7e6eeea0a51824e9f8aa755b9c4d568b,10
2b423b6659ec2595a6f0289496570810,95c1d2f0301e2037218760180fcac611,6.666666
5aee4b018350cd3f601d8e2e67a605fb,2eee009dc890ba33ad1f41097103173e,6.666666
fac182375dd20071b9c1d0b411248e47,7b05510f6d22a8b4d688f14429ddba5f,10
decaa15729f709253ab6442ab52a8fcf,23ecdee6712b49c3cfbe2c3055b8c69a,3.333333
198d4b29138b3b2c3a95af1377a297be,613f8c371bac79849a1f9df32de8452c,10
03a72c008f90a12041eb32d55f98eeb1,ab842b010165fc0195deea5f446a11a4,10
2ab32b9c5545c6c1052da65a641bc5fa,57a9980b2c2dca697a5189643f6c7dc6,6.666666
04f739f0fc11ac54d9d0322f7084db93,28f5eb1feec7386ef1645d95210e260c,6.666666
60dd259fbb2dfdd76010dad8ec897aad,3cbed60723e7ab81a4b743e50cb240ea,6.666666
475c78ed7d584fdebc735d0ee7eb2e53,c9eb66fd2b5efa4bcbb456db96dc6f04,6.666666
4f3b52a6d1b06f0a19899bc93fbd03ea,92cf1c3b709aaad2b2cc22ba2b80a217,10
d10be0b580d9ed6682c5365ba7395b67,a36885a11005b23fce525b1f2e7e58e9,6.666666
04cdff0cb2baa6448918b9208b155de1,71d231f60d5a100572f2a5bb8cd54dac,10
911e5597a2de903d243549a9c1eaf4c0,e77b0f6ebabc94e72890ea4c80cb1b6f,10
12124f898bbd63f672de24e7ae854bc0,99222f01681398af41629fce1fb44459,10
3f4aae95c2cc567d35b8aa96bc9d56a9,a00b767d0fc8fef2ca4155b1bb2a2e93,10
b1f85e4bb2d856214ae62edd2874b18b,523af071482942a876a0cc752804f195,10
a7177159d5b5ecc020e0fbbb99ac8c24,2b73fe6c28d78935efb8a4413c1480ff,10
a494108b2b0df4d440c62e57f30f454b,aa6538cecc664cbf7b617ccb913f49ba,6.666666
090fd05324e6748bf5894cd9377269da,c0b05df69f48327833b46d3578055272,10
5d43f0bdb2a703a3b7f9980e1e726f6d,ec75c85035d1cb2d4430bae4d0f41642,10
7b511ecd215d8b635935e6e4e646e0ba,311313f24601aa7e3cf0761ff41a5193,10
9fb5cad1cc68a21a115a3bfac363248d,e8cf1edb12de390a04d484dcadc8e69f,6.666666
e022fbb8a83b70ca4da269dbd64c0d0d,441ae94a410fd7b13c6e7bd61927acfb,10
2606f39e13e9e8231da40a114e453b5e,00ecd83e5ca9d2dbee847d1f0041786c,10
ee6209e5558bfab74b239f50d0d2a373,7ab2ab520e50d9380e5762bb52670b41,6.666666
e75b11641c1f9be57bc7480f0d8cfe76,fea1cc9e32ee848f4967a1962d115c88,10
99dfee459fd9dd64a5db5b203c5ac216,228e24fddb0cf1215d0d3955aad711b8,10
a75337f4cb153f221c75aae8713b64e1,4518b5342f18bda78cdd8e6fd2cb32d7,10
12b3e44c3472a21dfba228df3a1cd6d9,37345b24c2f31703a48fc11f99191eb6,10
96f39ecf5da250d9b4e2be131ca81218,d148cee2a677d85484ce27d1583d6b72,10
8199a146b8f0aee4f293eed8cf4c0dd2,ff5950e199c1f406f868397bd98d7f6c,10
2412ae75648828447a418c59ddf91c1a,12c294739e4014279d7c536041f5aefb,10
57802075091d43d52ead9885eab4a768,487fc84476ffb403412281d893d5793b,6.666666
e9abfa5c07347f7669fe36e7734c845c,a72b406391552d78fa5d72341756eef4,10
000864774ea79404365d5fa97a228891,497582416b78dd2635e659bbda8eed58,10
a94e64cf703739b97a951a8e33b966aa,5aa76346e45e2aae192d29b75c4faf65,6.666666
f521fdc34ae0d032bb331a963fda6174,d0009b7a202730a9613272f8a185373e,10
746aa3d501d6b3b74d16255556c2c15b,aaac9c3a93b4a81eca40e297b6e2cfb4,10
0c20b391e77276a1c7c33b970657c067,908a46b3151bb7a6944ad566cda822f5,10
a4dc0c437c7e77e86778b76a8a37bd48,6502569cf33c0dd13b1461521d4f4b4e,6.666666
d3dc31367d590d9fe4515323a43886da,6ad80c818a3eea1abbcad5791b9db7d7,10
26b4e0bfc992f0eb30380b58a7b40aa2,246abb8a15942592c81fa1f0e99ff560,6.666666
45f66aaefb661057461b00cd818cec26,1bff6743c85b7ba386a98474e821bd1d,10
9db05d921014d9df0f9e4b2a94f1e990,21c94bec455e20d7678f9ca864bcef63,10
35da03ba8173768af570ffb7b6deddce,cae607eb27567876266d1f08f4f9b518,6.666666
2cb4bc62e6916942e2ad664c026c6e6a,6bb1a0f7a73258dc1ce1700eb92a4726,10
9482555f9969e8685f3ce9b403df4c58,fdce9e379af14b0c7d24dcad1fe2886c,10
0014f633496440d52827f0decbae9007,27027799d4f913a1bbcaf36ba1aad336,6.666666
f2683d5bc00dac248cd4d77a7cd5470d,16aa2b1c95584e38c655048807b62a4f,6.666666
38fcb394a538071a93b1a536964f632a,e6b3ad1a88250bc73050301856676831,10
765954372008463ebd4ecb31b13e63fe,a68ad720fd7747bbbb4361001d9e3243,10
9596af443b4b8f0db3642d6f6eb2fd83,8d8fdf0772cdc660331de33844fcfc37,6.666666
b9ac66fd6aa2777c3b516f4ed3baf48b,00b88152ad97a646488b95b984ad5e73,6.666666
7fd3bf606c1ba730fd777a2fdaa3a1ae,b640664e6be1e756dfd656cac2265ac0,10
e0dbd9248fffddfc5d079768e5430ada,0eb9a792714fd04a017a440cbddd7a59,10
9ad75a5bcb7a7de80693f2a79aea0bcd,032deaaab5fdc782a3b815e67928adbc,10
725ed76a8e3dad0247a28da3d2bb07de,dd44d12f8682fc1576c485701b601126,10
ba0bd518ba7226d6a1d5885b82cc7cb8,2ecd588742f66caeb3e422f9580ecf04,6.666666
4c8f4c557ccc6768d032f6fd67d80c3e,45ddd3385b10f5c74806b2246b0cda66,10
ff4a5e3c8dc4867d13fdb915683ee399,efdb7e6591ef456c19bafc535b935094,10
acfb600710eb6ba9cbe2de96312f3997,a29a074880b7641860ac17e692a67712,6.666666
c75889788e45862c30d5d30072610f70,aefe2537c73df156f5275fdd72f15a5d,6.666666
a28829cc29ef81a9f9491b582a685060,07c8070239a36ac96249dce8ce4d5c26,3.333333
c35774c6d02129016e99f5052537da83,85a0cd5f3f6944c1702eed12b488e9b5,6.666666
a06bdb9370fee8e5758e30ac5f4fde77,50a1676545e2a549ed3be53b2b379990,10
8d1fd9f87090c5be65067f6d94e403b7,d8890d44535df8e1d7f94c6d5c0d0725,10
e307d24b366a00b0ad4e171a181efc28,f29ddaf2096816bd007474882cb4b42a,6.666666
6a47e7fe2719d3d53ac43243c5ad9c39,2ac92fd4b95d95f415d94efa4b47dc46,10
f844c63e6923c14f3fea13af84f2c29b,d91b0169c097e59d3bb16dd2dffdd2ef,10
3ad3d35de4f04564523fa60cdf11b10e,72feac7a710f462a90c2b18e696b1d77,10
d53bf29eb515edf83145f4042bb567fb,1e8a75d76fb9b0331410f4535a503ccc,6.666666
d9838a4d06cfde44ae6a11e0962200ce,2cc451b9dea60b556597ac74904c199d,10
229ba6cb2b0d84e95db0cc2124007f27,3595270cd2a89da27bac514a14eb3a94,6.666666
dab2b81097b1d36430fc017251db5802,deb2c8dfa31f75bd4b7525f31d6d0d2d,6.666666
19a66f30becce4dc97a0646fd1eeab61,fcccd6fe482444732ec2ed1659ceed68,10
e91688fa4294f845a9a2320bb8aee663,c51c822bf6fe075be248160051967263,10
a71909617b50ff065b4bb09df9b56344,106f23f269c65763699e8f07d14783d4,10
8515f4fe7ff47ec37b1910f885367454,246853ee48273a6f47d9e5c02a086272,10
0a7a66d5adbcf11d363ddc690002b892,20776196c050a919bee1c2ffc46a21da,6.666666
c0609483ad3a6ade442319fb03b22fd1,9b6e4582819ef2cb8529ab16851f0022,10
0c3dca3da4db1cbede4cb03f70549e3e,efd3c914d60ff80356ecb95eee00fe04,6.666666
9eab5211663359360dd83baa0a358e5b,fce220bb1c012c8127aa807387b4ac61,10
bd5c8a215e638f852de2a1e0229d61e7,fb0e8be9dbdb25eb2470c838fc7049b6,10
ad007a837084ca81ad6e236dcf007f5e,f7c441f311e85cb87323f105fefd2d0f,10
81d29682850deabb5faea5dceb0f37bf,5bf69e13dfb9be7a6180dbf451dba454,10
2dd34137da94ec76eef40540bfe5dba8,6a3de240ca5810803148b29428e0be8a,10
641c8847dde24419f84eb3b26724ffbe,92e7c12c40eff00cf9514734bc175004,6.666666
3053f5962eeb4ae16db61c0c70813244,8d440e2b5387e6f1d207e9ab00dfe36e,10
234515d2fd0c762706b79167ddfe7af2,4b1839dfd88609d0685d4a3ac4c3cfc6,10
f51b5f2ef108a02651a1d9618cf76e1b,b9d886f6f1178ffe2f1d766244d47cb0,10
b140623e113df79f4b37eaf5626a4ac7,b1621b1f2c819058e529a538f70440c7,3.333333
78b7e481f147207134c2ad3f2537e13c,526affd559c732d721e644560cc698d7,10
dca1566eae6f14dc2fdb041a8c87048d,4624eda6bfc34e5b59a3e728b04ea981,10
ae455b092ebc71ad6fed4554b171a925,9505be58f17cd2c817ef6422d9d67973,10
38dbccf194d68ffc02d8268ef73b7bd6,e3e7b1f6df1474ed705be5ddd027d63e,6.666666
7abc6c93de25303fdcb4ba971a9e101d,f5d2a631f720bbd936171f4b8f3e38a2,10
d1837a67d82ad996d407bf7855d83018,78045c165cd234dcd62229a6fefb8c18,10
bd51e6164a91741558625c9dcec0f5a5,fcfedef07556be7fa38d8e23a3ef6805,6.666666
f9bfa6c7baeaf19d14508fb3b3391223,990ef25c1a997b9ded7037dca156a38e,6.666666
bcf2a7f18b6476d7a52641b1473914c8,4035e06cc40566c435baa4079e23a7f6,10
34cd4b66c2ec6585b5e5dfefd5309d37,0869de527734a6e5934b4309d9e434a9,10
d2c0082712bc6b56f112a1cb98315151,e9d7f8d8a4b5e4a096375da446198db7,10
52d5372d6b825e594d519000e29426a5,9981ea422c659529fab964f4e36e127f,10
3f578de7b43382e05b89c698f270ef95,10d49168638bdd3e71a67d3dcb796fee,10
701f6f45aac1b42f16682300199e31f2,b667046e34a2a19919fcad56b5ef837f,10
13329db48118bf44fb8c104747437188,70fa7b892df18619dd8af0288893ba67,6.666666
54a516ddab0a9210336a8b19ff861d94,6401ebc84c201b4b2e8540c03eb62cfc,10
4248f436ecef7a2039c12423a63bcf11,77d0032d8963c09c642de037392ffe0d,3.333333
867f2768f202d86bbe90e882836fe23e,fa2f50070045317f97be01dcc302649a,10
35d56526fa2811a29f8b172ed308f806,93b02e65abb13790f2d5df558f1180d6,6.666666
39a62115e217f4c66f10b8e12caef656,ff8a07894f846f3bd21d330c956deba9,10
a46d58a14b5fe43d17481bcd7655fb7a,c11bbbed7d777a9520aed948080c7892,10
5b5ea9b15a38f0e145233c7aac84ecb3,37b7f8712f6553d4373667108a194119,6.666666
6473e2dd86bbd9d28ce6f99069e85143,c35d07bd3aa9a0c97d58846d0672b013,6.666666
2fab1c09bba2a3c53e7e2dcc81dc98fa,31fec7b3dff46189fdd35563c3c4c298,10
103bec4e0e1bbc75461d3d61d30bb54b,28f7677dcaf960edc9f97672f067256e,10
cb8a914f7087b2aa6eaaaf78c3f9b064,0fb42929c6eafc99dee5d3f8b9eafa27,10
302e9d0bf27753fe5c3e1d9673e22da5,d07ccd63ee8a374904586cf263e875c6,10
c6957a6e6bfb6df98c8cec542ef39e20,89a8958999b945e5600883fcc0ad0515,6.666666
57238f518ab8fd4bc7b10c32fd1d809e,4f223974c3ccb13fb18d4f0d0b624e30,10
570e2ae6c80ab469f82a4b1821818139,07d2353730ac58d5be1c11490f923218,10
f1bdb659e2ff88fce8c5beea1a362837,dea072431008db39477891a869996d5c,6.666666
e9b8945a70b1ebc80b8400effa279d16,981fb21edf5499eeee2c0b1600cb0297,10
e53a179e9af5c4e5b506ffdfb2ef5a5d,b0192efac5884e8a9969d38a4a809dc5,10
21722ed75cb3883b57a2c28bde4d26c3,dc62c8499d275f787702ea2defb7f929,10
79ade82cd043c56c580fcb1023f82926,8f7f00d15103de301096bc49460f7b6f,6.666666
b12ced318ef5667f60fe4c387e52cabc,78142aac8321712f5a307f9e9995d5a7,6.666666
ad4047c884edec26e89e73baf6a00c00,fc8d652604afc7486a714524ad81f9db,3.333333
20a051ff2769f9dee854898556822db3,9346feabdea96248175e8f59b2f9026b,10
92c549534bcb3732f53de4e1be889562,560d29416af8abb26c62b68ce808e725,10
7d807f293f68ae1c1de9c6fff82d5b5e,01a35c3d95ea6ff08ebcb980846893f3,6.666666
20376a501a34db327b08ef8f7ada85e2,7e8584e1ba09d16e71bd751cdb1f65df,6.666666
dbab2d7206aea69fec7a7383cbfb8b76,c811b1abf22c25773761b4ee22a771a4,10
94af1a3becf50d4e40fd6d6a36c89bb8,0a40593868f4c13320525cac1f35a41a,10
0979c11cc11ec5281c687ad99002600f,548ef09923d2898d85abd63e12335ed1,10
010b11f74843819c2a1ab4d27601758d,992eafaa5a769689638d13c2d2afc662,10
a8fc29d22b54b4c5d9ae980f3967be1a,2801c1fadf927d1ffcc2f328e40f22c9,10
68e27c5ddc1c8b2e24daeaf1d2395611,f752b275b3406a6fb58c78cdeedf5861,10
