Rank,Model,Fluency,Feasibility,Originality,Flexibility,Average,Model_Short,Is_Open_Source
1,google/gemini-pro-1.5,8.876354704711348,6.839345637583893,7.313968120805369,7.666666666666667,7.674083782441819,gemini-pro-1.5,False
2,o1-preview,9.068043355308447,6.575751582278481,7.338409810126582,7.666666666666667,7.6622178535950445,o1-preview,False
3,qwen/qwq-32b-preview,9.117236490230285,6.938636861713785,6.727591496822266,7.333333333333333,7.529199545524917,qwq-32b-preview,True
4,anthropic/claude-3.5-sonnet,8.933666480162449,5.954359394187475,7.860826852230864,7.2222219999999995,7.492768681645197,claude-3.5-sonnet,False
5,google/gemini-2.0-flash-exp:free,8.72440936476378,6.783501566306996,7.072920292377306,7.333333333333333,7.478541139195353,gemini-2.0-flash-exp,False
6,openai/gpt-4o-2024-11-20,8.371428449761906,6.344392082940622,7.5920829406220545,7.0,7.326975868331146,gpt-4o-2024-11-20,False
7,mistralai/mistral-large-2411,8.523463841219158,6.816105769230769,6.919070512820513,7.0,7.31466003081761,mistral-large-2411,True
8,amazon/nova-pro-v1,8.497803962624362,7.049167327517843,6.573750991276764,7.0,7.280180570354743,nova-pro-v1,False
9,nvidia/llama-3.1-nemotron-70b-instruct,8.212355945384074,6.342242639381917,7.535602422217582,6.888888666666666,7.24477241841256,llama-3.1-nemotron-70b-instruct,True
10,qwen/qwen-2.5-coder-32b-instruct,8.42667372374798,6.651705213641709,6.89984319874559,6.777777666666666,7.188999950700486,qwen-2.5-coder-32b-instruct,True
11,meta-llama/llama-3.1-405b-instruct,8.277549965846994,6.312189859762675,7.0379719525350595,6.666666666666667,7.073594611202849,llama-3.1-405b-instruct,True
12,sammcj/qwen2.5-dracarys2-72b:Q4_K_M,7.975487815932819,6.90886287625418,6.636956521739131,6.555555333333333,7.019215636814866,qwen2.5-dracarys2-72b,True
13,openai/o1-mini,7.547999838999999,6.876496097137901,7.14570685169124,6.444444333333333,7.003661780290618,o1-mini,False
14,qwen/qwen-2.5-72b-instruct,7.902003094748241,6.7497569511958,6.741396072331324,6.555555333333333,6.987177862902175,qwen-2.5-72b-instruct,True
15,step-2-16k,7.9654067822435515,6.666463166463166,6.28021978021978,6.333333333333333,6.811355765564958,step-2-16k,False
16,anthropic/claude-3.5-haiku,7.584937791784339,5.637462235649547,7.7435800604229605,6.2222219999999995,6.797050521964211,claude-3.5-haiku,False
17,x-ai/grok-2-1212,7.564360057421762,6.595395395395395,6.83023023023023,6.111111,6.775274170761847,grok-2-1212,False
18,openai/gpt-4o-mini,7.1027326012145755,6.871735345327917,6.763784097504353,6.111111,6.712340761011712,gpt-4o-mini,False
19,deepseek/deepseek-chat,7.020727750371914,6.367603108188883,7.191273161984459,6.111111,6.672678755136314,deepseek-chat,True
20,meta-llama/llama-3.3-70b-instruct,7.2474600477285795,6.7040959040959045,6.348051948051948,6.111111,6.602679724969109,llama-3.3-70b-instruct,True
